Total Caess,18-Mar-2020,,,19-Mar-2020,,,20-Mar-2020,,,21-Mar-2020,,,22-Mar-2020,,,23-Mar-2020,,,24-Mar-2020,,,25-Mar-2020,,,26-Mar-2020,,,27-Mar-2020,,,28-Mar-2020,,,29-Mar-2020,,,30-Mar-2020,,,31-Mar-2020,,,1-Apr-2020,,,2-Apr-2020,,,3-Apr-2020,,,4-Apr-2020,,,5-Apr-2020,,,6-Apr-2020,,,7-Apr-2020,,
,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases,Active cases,Recovered cases,Fatal cases
,,,,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal,Active,Recovered,Fatal
India,,,,8,0,0,36,6,1,39,3,0,103,1,1,17,0,2,128,51,3,53,-35,2,83,3,1,47,24,4,170,13,2,57,7,6,163,15,4,200,38,6,236,-7,3,499,18,12,365,39,21,432,47,6,442,48,12,647,34,22,461,34,13
USA,,,,2803,89,42,4221,2,51,5737,39,61,7441,29,78,8029,-1,131,10905,158,122,8645,46,211,13375,237,250,12931,1248,147,-69985,601,510,108744,766,516,15899,1536,278,20240,1178,668,22907,1137,901,24066,1796,1059,36501,3063,1441,-21007,-2021,584,70354,5047,1334,22284,2677,1178,34579,2296,2082
China,,,,-793,819,8,0,0,0,-1250,1320,10,-464,700,6,0,-196,0,-814,915,16,-448,491,4,-340,401,6,2,0,0,-821,920,8,-437,477,5,0,0,0,-530,604,5,-157,186,7,-141,170,6,-136,163,4,-165,180,4,-186,213,3,-77,114,2,-57,89,0
Italy,,,,2648,1084,475,4480,415,427,4670,689,627,4821,943,793,33953,952,651,-26216,408,601,3612,894,743,3491,1036,683,4492,999,712,4401,589,919,3651,1434,889,3815,646,756,1648,1590,812,2107,1109,837,2937,1118,727,2477,1431,760,2339,1480,766,2886,1238,681,2972,819,525,1941,1022,636
Iran,,,,724,321,147,628,269,149,322,766,149,-47,890,123,621,278,129,821,463,127,1103,537,122,1351,712,143,1400,832,157,2106,676,144,4457,1258,262,1549,1520,117,2225,745,141,0,0,0,2032,817,138,2870,2462,258,2402,0,158,-1744,4076,151,-87,2225,136,-847,2803,133
Germany,,,,2931,34,2,2967,10,16,4439,65,24,2607,59,16,2306,27,10,4985,187,36,44,2837,29,4028,257,47,3701,2131,56,10105,-2534,89,6047,1301,130,3189,855,64,3033,2335,162,3927,-3,93,1802,4090,131,8957,1875,267,2091,764,100,-4043,8831,178,1104,2088,121,636,2958,245
France,,,,1315,0,89,1055,698,108,1539,0,78,1448,287,112,834,613,112,3652,0,186,1127,1081,240,2698,0,231,3557,0,365,1091,2419,299,4328,0,319,769,1502,292,3196,762,418,7052,27,499,2782,1570,509,-726,1494,1348,1153,2953,1127,3084,130,1053,-690,2045,518,2012,1067,833
S.Korea,,,,-262,407,7,0,0,0,-208,286,9,-435,676,4,-200,257,7,-274,341,9,-129,223,6,-315,414,5,-301,384,8,-142,283,5,-125,222,8,-123,195,6,-59,180,4,-61,159,3,-176,261,4,-112,193,5,-213,304,3,-63,138,6,-91,135,3,-1758,-1680,-52
Finland,,,,37,0,0,41,0,0,50,0,0,72,0,1,103,0,0,74,0,0,92,0,0,0,0,0,162,0,4,201,0,4,0,0,0,53,0,2,160,0,6,67,0,0,0,0,0,171,0,3,255,0,5,52,0,0,246,0,3,126,0,6
UK,,,,632,0,44,600,14,40,670,0,33,968,19,57,585,42,48,906,0,53,1330,0,87,1453,0,43,1971,0,113,2750,0,182,2278,0,268,2233,0,200,2959,-5,213,5827,0,911,0,0,0,7576,0,1253,2892,0,708,5419,0,619,2820,0,982,541,0,-541
Pakistan,,,,60,0,0,134,11,1,47,0,1,153,-8,0,128,0,2,114,1,1,86,12,1,71,3,1,112,0,1,113,2,2,223,5,2,90,4,5,207,26,7,149,24,1,222,25,5,144,19,4,240,4,6,147,40,4,298,87,5,540,172,4
Qatar,,,,10,0,0,0,0,0,12,6,0,-6,17,0,7,6,0,3,4,0,21,4,0,11,0,0,12,0,0,11,2,0,25,2,1,41,3,0,56,3,0,76,11,1,45,9,0,112,1,1,105,21,0,234,16,0,264,14,1,220,8,0
Cuba,,,,5,0,0,0,0,1,5,0,0,5,0,0,14,0,0,5,0,0,8,0,0,9,0,0,10,0,0,8,4,1,38,0,1,20,0,0,30,0,1,10,4,2,22,4,0,20,1,0,34,2,0,19,0,0,30,0,2,26,3,1
